City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-joseph,-21.3667,55.6167,25.21,92,98,6.65,RE,1706462127
1,punta arenas,-53.15,-70.9167,16.06,51,75,12.35,CL,1706462075
2,margaret river,-33.95,115.0667,13.24,78,71,4.07,AU,1706462256
3,bethel,41.3712,-73.414,3.44,86,100,5.14,US,1706462257
4,port-aux-francais,-49.35,70.2167,5.57,72,89,10.57,TF,1706462257
5,marovoay,-16.1,46.6333,25.54,79,12,2.84,MG,1706462257
6,adamstown,-25.066,-130.1015,24.51,74,100,4.92,PN,1706462257
7,waitangi,-43.9535,-176.5597,17.68,97,100,4.47,NZ,1706462257
8,porto velho,-8.7619,-63.9039,28.03,78,75,2.06,BR,1706461966
9,wailua homesteads,22.0669,-159.378,22.44,81,0,6.69,US,1706462257
10,aasiaat,68.7098,-52.8699,-31.07,98,97,3.53,GL,1706462257
11,kapuskasing,49.4169,-82.4331,-1.95,80,100,3.09,CA,1706462258
12,keflavik,64.0049,-22.5624,-3.05,100,75,1.03,IS,1706462258
13,blackmans bay,-43.0167,147.3167,17.07,83,55,0.45,AU,1706462258
14,nkhotakota,-12.9274,34.2961,25.23,76,66,1.91,MW,1706462258
15,aykhal,66.0,111.5,-25.17,55,24,2.58,RU,1706462258
16,san marcos,33.1434,-117.1661,22.13,43,0,1.79,US,1706462172
17,dul'durga,50.6761,113.5931,-23.2,86,4,0.67,RU,1706462258
18,mount gambier,-37.8333,140.7667,12.89,96,3,1.4,AU,1706462259
19,rincon,32.296,-81.2354,17.98,55,20,8.75,US,1706462259
20,tiksi,71.6872,128.8694,-24.74,71,11,6.25,RU,1706462259
21,enewetak,11.3474,162.3373,26.13,77,99,8.43,MH,1706462259
22,manga,11.6636,-1.0731,32.33,10,10,3.67,BF,1706462259
23,edinburgh of the seven seas,-37.0676,-12.3116,15.42,70,44,6.29,SH,1706462259
24,shingu,33.7333,135.9833,2.32,86,5,3.38,JP,1706462259
25,grytviken,-54.2811,-36.5092,5.87,67,11,7.59,GS,1706462260
26,iqaluit,63.7506,-68.5145,-36.15,61,75,5.14,CA,1706462260
27,hawaiian paradise park,19.5933,-154.9731,21.13,86,0,2.06,US,1706462260
28,hasaki,35.7333,140.8333,2.94,54,54,9.05,JP,1706462260
29,colonia,50.9333,6.95,10.46,51,0,4.63,DE,1706462009
30,kralendijk,12.15,-68.2667,28.99,70,75,6.69,BQ,1706462090
31,doka,13.5167,35.7667,26.1,30,98,3.97,SD,1706462260
32,bilibino,68.0546,166.4372,-29.01,100,100,0.66,RU,1706462260
33,vorgashor,67.5833,63.95,-11.6,94,100,4.5,RU,1706462260
34,katsuura,35.1333,140.3,6.95,63,56,6.96,JP,1706462261
35,bubaque,11.2833,-15.8333,27.04,58,54,4.55,GW,1706462261
36,pitimbu,-7.4706,-34.8086,31.33,65,99,5.4,BR,1706462261
